variant,seed,method_id,method_key,agent_id,step_index,time,x_m,y_m
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,31,0.5333333333333333,5.018133123021272,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,32,0.55,-4.86418377732252,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,32,0.55,4.997050021855636,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,33,0.5666666666666667,-4.839074426322547,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,33,0.5666666666666667,4.97596692069,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,34,0.5833333333333334,-4.8139650753225744,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,34,0.5833333333333334,4.9548838195243645,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,35,0.6,-4.788855724322602,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,35,0.6,4.933800718358729,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,36,0.6166666666666667,-4.763746373322629,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,36,0.6166666666666667,4.912717617193093,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,37,0.6333333333333333,-4.738637022322656,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,37,0.6333333333333333,4.891634516027457,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,38,0.65,-4.713527671322684,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,38,0.65,4.870551414861821,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,39,0.6666666666666666,-4.688418320322711,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,39,0.6666666666666666,4.849468313696185,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,40,0.6833333333333333,-4.663308969322738,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,40,0.6833333333333333,4.8283852125305495,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,41,0.7,-4.638199618322766,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,41,0.7,4.807302111364914,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,42,0.7166666666666667,-4.613090267322793,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,42,0.7166666666666667,4.786219010199278,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,43,0.7333333333333333,-4.58798091632282,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,43,0.7333333333333333,4.765135909033642,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,44,0.75,-4.5628715653228475,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,44,0.75,4.744052807868006,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,45,0.7666666666666666,-4.537762214322875,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,45,0.7666666666666666,4.72296970670237,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,46,0.7833333333333333,-4.512652863322902,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,46,0.7833333333333333,4.7018866055367345,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,47,0.8,-4.4875435123229295,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,47,0.8,4.680803504371099,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,48,0.8166666666666667,-4.462434161322957,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,48,0.8166666666666667,4.659720403205463,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,49,0.8333333333333334,-4.437324810322984,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,49,0.8333333333333334,4.638637302039827,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,50,0.85,-4.412215459323011,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,50,0.85,4.617554200874191,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,51,0.8666666666666667,-4.387106108323039,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,51,0.8666666666666667,4.596471099708555,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,52,0.8833333333333333,-4.361996757323066,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,52,0.8833333333333333,4.5753879985429196,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,53,0.9,-4.336887406323093,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,53,0.9,4.554304897377284,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,54,0.9166666666666666,-4.311778055323121,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,54,0.9166666666666666,4.533221796211648,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,55,0.9333333333333333,-4.286668704323148,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,55,0.9333333333333333,4.512138695046012,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,56,0.95,-4.261559353323175,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,56,0.95,4.491055593880376,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,57,0.9666666666666667,-4.236450002323203,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,57,0.9666666666666667,4.46997249271474,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,58,0.9833333333333333,-4.21134065132323,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,58,0.9833333333333333,4.448889391549105,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,59,1,-4.186231300323257,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,59,1,4.427806290383469,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,60,1.0166666666666666,-4.1611219493232845,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,60,1.0166666666666666,4.406723189217833,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,61,1.0333333333333332,-4.136012598323312,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,61,1.0333333333333332,4.385640088052197,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,62,1.05,-4.110903247323339,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,62,1.05,4.364556986886561,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,63,1.0666666666666667,-4.085793896323366,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,63,1.0666666666666667,4.343473885720925,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,64,1.0833333333333333,-4.060684545323394,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,64,1.0833333333333333,4.32239078455529,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,65,1.1,-4.035575194323421,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,65,1.1,4.301307683389654,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,66,1.1166666666666667,-4.010465843323448,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,66,1.1166666666666667,4.280224582224018,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,67,1.1333333333333333,-3.9853564923234757,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,67,1.1333333333333333,4.259141481058382,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,68,1.15,-3.960247141323503,-0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,1,68,1.15,4.238058379892746,0.0696612748131156
head_on,1000,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,0,69,1.1666666666666667,-3.9351377903235303,-0.0696612748131156
