methodId,methodKey,engineId,upstreamCommit,repositoryCommit,freezeManifestSha256,scenarioSet,metric,unit,scope,estimator,estimate,confidenceLower,confidenceUpper,contributingScenarios,bootstrapReplicates
orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_290,success_fraction,fraction,overall,mean,0.4360064484126984,0.4277078373015873,0.44364533730158723,290,10000
orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_290,pre_correction_overlap_exposure,pair-s per agent-s,overall,mean,0.15635860243055566,0.15226133432539687,0.16063210958168006,290,10000
orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_290,maximum_pre_correction_penetration,m,overall,median,0.012502733305483932,0.01097505443738784,0.013442725925783747,290,10000
orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_290,normalized_travel_time,ratio conditional on success,overall,median,1.3611222077372542,1.3210477744044784,1.3809916248942482,290,10000
orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_290,path_ratio,path length / straight-line distance,overall,median,0.9468708785655537,0.9400965326156226,0.9553723477039952,290,10000
orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_290,rms_acceleration,m/s^2,overall,median,1.6598702820828577,1.6192208179079817,1.7118406794250411,290,10000
orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_290,rms_jerk,m/s^3,overall,median,98.67220592946437,96.38710135387336,101.72229585186196,290,10000
orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_290,correction_ratio,ratio,overall,median,0,0,0,290,10000
orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_bottleneck,throughput,agents/s,bottleneck,mean,0.055833333333333325,0.05000000000000002,0.060833333333333336,30,10000
orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,orca_rvo2_engine_v1,b577921d2bc1281a6b721c2d4778f397d37da97d,6bdc66c489e09c7bbdce2a82ebf344b63b006411,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890,frozen_test_pairwise,avoidance_onset_rate,fraction,pairwise,mean,0.515,0.495,0.5349999999999999,200,10000
