proposedMethodId,proposedMethodKey,comparatorMethodId,comparatorMethodKey,metric,unit,scope,differenceDefinition,proposedEstimate,comparatorEstimate,pairedDifference,confidenceLower,confidenceUpper,pairedScenarioCount,bootstrapReplicates,freezeManifestSha256
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,orca_rvo2_v1,orca_rvo2_v1--1ab544afd1fc,minimum_post_correction_physical_clearance,m,pairwise,Conditioned Riemannian minus comparator,0.2321337296286077,0.23141422829469804,0.0007195013339096612,0.0007030645397810842,0.0008702352012149306,200,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,success_fraction,fraction,overall,Conditioned Riemannian minus comparator,0.2773814484126984,0.6208978174603175,-0.34351636904761906,-0.36601884920634914,-0.3225243055555556,290,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,pre_correction_overlap_exposure,pair-s per agent-s,overall,Conditioned Riemannian minus comparator,0.6235434840029761,1.6041647278025792,-0.9806212437996031,-0.9946300369957012,-0.9656986848958333,290,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,maximum_pre_correction_penetration,m,overall,Conditioned Riemannian minus comparator,0.05728378639842796,0.4902556677501456,-0.43297188135171766,-0.4368558972866271,-0.42914833958060167,290,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,normalized_travel_time,ratio conditional on success,overall,Conditioned Riemannian minus comparator,1.496785546940881,1.0028852746099644,0.4939002723309167,0.4697418921568355,0.5160737594180262,254,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,path_ratio,path length / straight-line distance,overall,Conditioned Riemannian minus comparator,0.967598165269069,0.9787273833372871,-0.011129218068218094,-0.012863329226307174,-0.00907939441030603,254,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,rms_acceleration,m/s^2,overall,Conditioned Riemannian minus comparator,2.7922436990767885,1.8263159541599776,0.9659277449168109,0.8700702079098479,1.0446518992607423,290,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,rms_jerk,m/s^3,overall,Conditioned Riemannian minus comparator,194.61307769915254,105.96863501418514,88.6444426849674,82.22983732922809,94.88219150300883,290,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,correction_ratio,ratio,overall,Conditioned Riemannian minus comparator,0.8298402274298522,0,0.8298402274298522,0.817784547420902,0.922749160521787,290,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,throughput,agents/s,bottleneck,Conditioned Riemannian minus comparator,0.18416666666666665,0.39499999999999996,-0.21083333333333332,-0.23500000000000015,-0.18666666666666684,30,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,avoidance_onset_rate,fraction,pairwise,Conditioned Riemannian minus comparator,0.525,0.3825,0.14250000000000002,0.11749999999999994,0.16999999999999998,200,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,ttc_at_onset,s,pairwise,Conditioned Riemannian minus comparator,,,,,,109,0,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,minimum_pre_correction_physical_clearance,m,pairwise,Conditioned Riemannian minus comparator,0.22329395165846336,0.0323201623588176,0.19097378929964576,0.1807581443408055,0.2016986326473921,200,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,social_force_pysocialforce_v1,social_force_pysocialforce_v1--a27575969af7,minimum_post_correction_physical_clearance,m,pairwise,Conditioned Riemannian minus comparator,0.2321337296286077,0.0323201623588176,0.1998135672697901,0.1895051159316961,0.2104456636119839,200,10000,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
