family,methodId,methodKey,engineId,upstreamCommit,metric,unit,estimator,estimate,contributingScenarios,freezeManifestSha256
bottleneck,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,scientific_core_engine_v1,,rms_acceleration,m/s^2,median,4.254065469355389,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bottleneck,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,scientific_core_engine_v1,,rms_jerk,m/s^3,median,317.85412851821883,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bottleneck,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,scientific_core_engine_v1,,correction_ratio,ratio,median,1.8834251388902419,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bottleneck,conditioned_riemannian_metric_v1,conditioned_riemannian_metric_v1--45386d3d5316,scientific_core_engine_v1,,throughput,agents/s,mean,0.18416666666666665,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
pairwise,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,success_fraction,fraction,mean,0.6325000000000001,200,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
pairwise,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,pre_correction_overlap_exposure,pair-s per agent-s,mean,0.06854444444444444,200,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
pairwise,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,maximum_pre_correction_penetration,m,median,0.019341406661629507,200,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
pairwise,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,normalized_travel_time,ratio conditional on success,median,0.9991387086611159,176,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
pairwise,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,path_ratio,path length / straight-line distance,median,1.007090184248074,176,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
pairwise,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,rms_acceleration,m/s^2,median,2.7457431014089675,200,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
pairwise,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,rms_jerk,m/s^3,median,179.5209876216812,200,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
pairwise,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,correction_ratio,ratio,median,0.02836427221171941,200,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
pairwise,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,avoidance_onset_rate,fraction,mean,0,200,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
pairwise,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,ttc_at_onset,s,median,,0,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
pairwise,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,minimum_pre_correction_physical_clearance,m,median,0.21204232296697856,200,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
pairwise,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,minimum_post_correction_physical_clearance,m,median,0.23213372962860773,200,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
circle_antipodal,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,success_fraction,fraction,mean,0.35866666666666663,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
circle_antipodal,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,pre_correction_overlap_exposure,pair-s per agent-s,mean,0.6870466666666666,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
circle_antipodal,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,maximum_pre_correction_penetration,m,median,0.07799506316631305,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
circle_antipodal,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,normalized_travel_time,ratio conditional on success,median,1.7157848023267206,22,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
circle_antipodal,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,path_ratio,path length / straight-line distance,median,0.9250595261092474,22,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
circle_antipodal,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,rms_acceleration,m/s^2,median,3.3938959921612826,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
circle_antipodal,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,rms_jerk,m/s^3,median,260.93970412984896,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
circle_antipodal,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,correction_ratio,ratio,median,0.5089979252424657,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bidirectional,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,success_fraction,fraction,mean,0.06958333333333334,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bidirectional,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,pre_correction_overlap_exposure,pair-s per agent-s,mean,0.7714618386243379,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bidirectional,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,maximum_pre_correction_penetration,m,median,0.08921503448794221,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bidirectional,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,normalized_travel_time,ratio conditional on success,median,1.5592610208593163,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bidirectional,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,path_ratio,path length / straight-line distance,median,0.9399082756566531,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bidirectional,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,rms_acceleration,m/s^2,median,4.343982284363113,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
bidirectional,euclidean_goal_steering_v1,euclidean_goal_steering_v1--bdb72f7142a1,scientific_core_engine_v1,,rms_jerk,m/s^3,median,308.45074032863624,30,a53a6aadce6ba4e0b54397975b02dd6e9affed77b50a379e1747c2d0fcb81890
